"","datayear","region","districttype","district","free","sped","lep","enrll"
"3773","12-13","Northwest","Independent","GOODRIDGE PUBLIC SCHOOL DISTRICT",69,24,0,173
"3774","12-13","Northwest","Independent","GREENBUSH-MIDDLE RIVER SCHOOL DIST.",168,91,0,441
"3775","12-13","Northwest","Independent","GRYGLA PUBLIC SCHOOL DISTRICT",82,24,0,163
"3776","12-13","Northwest","Independent","KITTSON CENTRAL SCHOOL DISTRICT",90,37,0,317
"3777","12-13","Northwest","Independent","LANCASTER PUBLIC SCHOOL DISTRICT",62,27,0,153
"3778","12-13","Northwest","Independent","MARSHALL COUNTY CENTRAL SCHOOLS",171,68,0,403
"3779","12-13","Northwest","Independent","NORMAN COUNTY EAST SCHOOL DISTRICT",160,55,0,301
"3780","12-13","Northwest","Independent","NORMAN COUNTY WEST SCHOOL DISTRICT",158,46,0,285
"3781","12-13","Northwest","Independent","OKLEE PUBLIC SCHOOL DISTRICT",90,30,0,159
"3782","12-13","Northwest","Independent","PLUMMER PUBLIC SCHOOL DISTRICT",137,28,1,220
"3783","12-13","Northwest","Independent","RED LAKE FALLS PUBLIC SCHOOL DIST.",128,37,0,368
"3784","12-13","Northwest","Independent","ROSEAU PUBLIC SCHOOL DISTRICT",302,174,2,1221
"3785","12-13","Northwest","Independent","STEPHEN-ARGYLE CENTRAL SCHOOLS",112,30,2,316
"3786","12-13","Northwest","Independent","THIEF RIVER FALLS SCHOOL DISTRICT",695,296,18,1946
"3787","12-13","Northwest","Independent","TRI-COUNTY SCHOOL DISTRICT",94,41,0,207
"3788","12-13","Northwest","Independent","WARREN-ALVARADO-OSLO SCHOOL DIST.",187,55,0,432
"3789","12-13","Northwest","Independent","WARROAD PUBLIC SCHOOL DISTRICT",436,132,18,978
"3790","12-13","Northwest","Independent","WIN-E-MAC SCHOOL DISTRICT",204,57,0,422
"3791","12-13","South Central","Charter","EDVISIONS OFF CAMPUS SCHOOL",45,20,0,93
"3792","12-13","South Central","Charter","GREEN ISLE COMMUNITY SCHOOL",19,10,0,65
"3793","12-13","South Central","Charter","LAFAYETTE PUBLIC CHARTER SCHOOL",38,8,0,99
"3794","12-13","South Central","Charter","MINNESOTA NEW COUNTRY SCHOOL",43,38,0,111
"3795","12-13","South Central","Charter","RIVERBEND ACADEMY",38,23,0,67
"3796","12-13","South Central","Charter","TEAM ACADEMY",88,18,1,144
"3797","12-13","South Central","Ed Districts","MN VALLEY EDUCATION DISTRICT",40,58,0,58
"3798","12-13","South Central","Ed Districts","RIVER BEND EDUCATION DISTRICT",71,41,0,114
"3799","12-13","South Central","Independent","BLUE EARTH AREA PUBLIC SCHOOL",560,174,41,1222
"3800","12-13","South Central","Independent","BUTTERFIELD PUBLIC SCHOOL DISTRICT",148,47,35,220
"3801","12-13","South Central","Independent","CLEVELAND PUBLIC SCHOOL DISTRICT",139,37,0,437
"3802","12-13","South Central","Independent","COMFREY PUBLIC SCHOOL DISTRICT",65,35,2,165
"3803","12-13","South Central","Independent","FAIRMONT AREA SCHOOL DISTRICT",696,208,66,1710
"3804","12-13","South Central","Independent","G.F.W.",316,119,28,790
"3805","12-13","South Central","Independent","GRANADA HUNTLEY-EAST CHAIN",107,15,0,205
"3806","12-13","South Central","Independent","JANESVILLE-WALDORF-PEMBERTON",174,100,0,591
"3807","12-13","South Central","Independent","LAKE CRYSTAL-WELLCOME MEMORIAL",267,122,1,806
"3808","12-13","South Central","Independent","LE SUEUR-HENDERSON SCHOOL DISTRICT",398,160,54,1053
"3809","12-13","South Central","Independent","MADELIA PUBLIC SCHOOL DISTRICT",263,88,53,514
"3810","12-13","South Central","Independent","MANKATO PUBLIC SCHOOL DISTRICT",2785,1139,435,7530
"3811","12-13","South Central","Independent","MAPLE RIVER SCHOOL DISTRICT",406,146,3,1025
"3812","12-13","South Central","Independent","MARTIN COUNTY WEST SCHOOL DISTRICT",275,91,0,757
"3813","12-13","South Central","Independent","NEW ULM PUBLIC SCHOOL DISTRICT",550,290,29,1887
"3814","12-13","South Central","Independent","NICOLLET PUBLIC SCHOOL DISTRICT",76,39,0,325
"3815","12-13","South Central","Independent","NRHEG SCHOOL DISTRICT",375,121,2,928
"3816","12-13","South Central","Independent","SIBLEY EAST SCHOOL DISTRICT",545,162,96,1220
"3817","12-13","South Central","Independent","SLEEPY EYE PUBLIC SCHOOL DISTRICT",332,76,30,595
"3818","12-13","South Central","Independent","SPRINGFIELD PUBLIC SCHOOL DISTRICT",269,67,6,612
"3819","12-13","South Central","Independent","ST. CLAIR PUBLIC SCHOOL DISTRICT",129,58,0,624
"3820","12-13","South Central","Independent","ST. JAMES PUBLIC SCHOOL DISTRICT",569,148,77,1028
"3821","12-13","South Central","Independent","ST. PETER PUBLIC SCHOOL DISTRICT",756,284,53,1906
"3822","12-13","South Central","Independent","TRI-CITY UNITED SCHOOL DISTRICT",604,202,138,1786
"3823","12-13","South Central","Independent","TRUMAN PUBLIC SCHOOL DISTRICT",131,31,4,257
"3824","12-13","South Central","Independent","UNITED SOUTH CENTRAL SCHOOL DIST.",287,97,13,618
"3825","12-13","South Central","Independent","WASECA PUBLIC SCHOOL DISTRICT",745,237,68,1810
"3826","12-13","South Central","Independent","WATERVILLE-ELYSIAN-MORRISTOWN",290,148,11,831
"3827","12-13","South Central","Sped Coops","SOUTHERN PLAINS EDUCATION COOP.",37,34,0,81
"3828","12-13","Southeast","Charter","ARCADIA CHARTER SCHOOL",35,33,0,126
"3829","12-13","Southeast","Charter","BLUFFVIEW MONTESSORI",65,18,0,207
"3830","12-13","Southeast","Charter","CANNON RIVER STEM SCHOOL",72,26,7,255
"3831","12-13","Southeast","Charter","DAKOTA AREA COMMUNITY CHARTER SCH",10,2,0,38
"3832","12-13","Southeast","Charter","DISCOVERY PUBLIC SCHOOL FARIBAULT",36,12,3,51
"3833","12-13","Southeast","Charter","LACRESCENT MONTESSORI ACADEMY",0,7,0,54
"3834","12-13","Southeast","Charter","NERSTRAND CHARTER SCHOOL",19,11,0,153
"3835","12-13","Southeast","Charter","RIDGEWAY COMMUNITY SCHOOL",31,10,0,102
"3836","12-13","Southeast","Charter","RIVERWAY LEARNING COMMUNITY CHTR",78,30,0,104
"3837","12-13","Southeast","Charter","ROCHESTER MATH AND SCIENCE ACADEMY",0,14,199,224
"3838","12-13","Southeast","Charter","ROCHESTER OFF-CAMPUS CHARTER HIGH",72,44,0,126
"3839","12-13","Southeast","Charter","ROCHESTER STEM ACADEMY",58,2,58,59
"3840","12-13","Southeast","Ed Districts","GOODHUE COUNTY EDUCATION  DIST.",47,73,0,73
"3841","12-13","Southeast","Ed Districts","HIAWATHA VALLEY ED. DISTRICT",40,21,0,82
"3842","12-13","Southeast","Ed Districts","ZUMBRO EDUCATION DISTRICT",74,41,0,119
"3843","12-13","Southeast","Independent","ALBERT LEA PUBLIC SCHOOL DISTRICT",1608,569,291,3217
"3844","12-13","Southeast","Independent","ALDEN-CONGER PUBLIC SCHOOL DISTRICT",214,95,0,499
"3845","12-13","Southeast","Independent","AUSTIN PUBLIC SCHOOL DISTRICT",2506,594,441,4491
"3846","12-13","Southeast","Independent","BLOOMING PRAIRIE PUBLIC SCHOOL DIST",270,81,18,721
"3847","12-13","Southeast","Independent","BYRON PUBLIC SCHOOL DISTRICT",285,140,0,1837
"3848","12-13","Southeast","Independent","CALEDONIA PUBLIC SCHOOL DISTRICT",220,80,2,682
"3849","12-13","Southeast","Independent","CANNON FALLS PUBLIC SCHOOL DISTRICT",265,113,6,1164
"3850","12-13","Southeast","Independent","CHATFIELD PUBLIC SCHOOLS",233,81,3,900
"3851","12-13","Southeast","Independent","DOVER-EYOTA PUBLIC SCHOOL DISTRICT",228,111,2,1144
"3852","12-13","Southeast","Independent","FARIBAULT PUBLIC SCHOOL DISTRICT",2153,489,473,3861
"3853","12-13","Southeast","Independent","FILLMORE CENTRAL",198,56,0,557
"3854","12-13","Southeast","Independent","GLENVILLE-EMMONS SCHOOL DISTRICT",100,46,2,264
"3855","12-13","Southeast","Independent","GOODHUE PUBLIC SCHOOL DISTRICT",143,46,37,655
"3856","12-13","Southeast","Independent","GRAND MEADOW PUBLIC SCHOOL DISTRICT",139,53,3,398
"3857","12-13","Southeast","Independent","HAYFIELD PUBLIC SCHOOL DISTRICT",202,79,15,750
"3858","12-13","Southeast","Independent","HOUSTON PUBLIC SCHOOL DISTRICT",732,338,0,2565
"3859","12-13","Southeast","Independent","KASSON-MANTORVILLE SCHOOL DISTRICT",369,181,22,2069
"3860","12-13","Southeast","Independent","KENYON-WANAMINGO SCHOOL DISTRICT",267,85,16,833
"3861","12-13","Southeast","Independent","KINGSLAND PUBLIC SCHOOL DISTRICT",210,62,0,601
"3862","12-13","Southeast","Independent","LA CRESCENT-HOKAH SCHOOL DISTRICT",242,145,0,1237
"3863","12-13","Southeast","Independent","LAKE CITY PUBLIC SCHOOL DISTRICT",376,139,17,1223
"3864","12-13","Southeast","Independent","LANESBORO PUBLIC SCHOOL DISTRICT",134,39,0,333
"3865","12-13","Southeast","Independent","LEROY-OSTRANDER PUBLIC SCHOOLS",102,36,3,289
"3866","12-13","Southeast","Independent","LEWISTON-ALTURA PUBLIC SCHOOL DIST.",266,107,12,736
"3867","12-13","Southeast","Independent","LYLE PUBLIC SCHOOL DISTRICT",130,31,0,240
"3868","12-13","Southeast","Independent","MABEL-CANTON PUBLIC SCHOOL DIST.",88,24,0,257
"3869","12-13","Southeast","Independent","MEDFORD PUBLIC SCHOOL DISTRICT",267,101,42,874
"3870","12-13","Southeast","Independent","NORTHFIELD PUBLIC SCHOOL DISTRICT",1010,448,318,3830
"3871","12-13","Southeast","Independent","OWATONNA PUBLIC SCHOOL DISTRICT",1941,535,356,4778
"3872","12-13","Southeast","Independent","PINE ISLAND PUBLIC SCHOOL DIST.",236,110,0,1153
"3873","12-13","Southeast","Independent","PLAINVIEW-ELGIN-MILLVILLE",409,171,28,1468
"3874","12-13","Southeast","Independent","RED WING PUBLIC SCHOOL DISTRICT",936,370,60,2777
"3875","12-13","Southeast","Independent","ROCHESTER PUBLIC SCHOOL DISTRICT",5992,1893,1731,16117
"3876","12-13","Southeast","Independent","RUSHFORD-PETERSON PUBLIC SCHOOLS",244,70,0,653
"3877","12-13","Southeast","Independent","SOUTHLAND PUBLIC SCHOOL DISTRICT",138,75,12,488
"3878","12-13","Southeast","Independent","SPRING GROVE SCHOOL DISTRICT",114,37,0,343
"3879","12-13","Southeast","Independent","ST. CHARLES PUBLIC SCHOOL DISTRICT",295,89,49,966
"3880","12-13","Southeast","Independent","STEWARTVILLE PUBLIC SCHOOL DISTRICT",503,193,4,1914
"3881","12-13","Southeast","Independent","TRITON SCHOOL DISTRICT",489,158,92,1179
"3882","12-13","Southeast","Independent","WABASHA-KELLOGG PUBLIC SCHOOL DIST.",194,70,0,574
"3883","12-13","Southeast","Independent","WINONA AREA PUBLIC SCHOOL DISTRICT",1177,533,95,3117
"3884","12-13","Southeast","Independent","ZUMBROTA-MAZEPPA SCHOOL DISTRICT",259,98,6,1071
"3885","12-13","Southeast","State Operated","MINNESOTA STATE ACADEMIES",97,188,0,188
"3886","12-13","Southwest","Charter","MILROY AREA CHARTER SCHOOL",20,7,1,45
"3887","12-13","Southwest","Independent","ADRIAN PUBLIC SCHOOL DISTRICT",238,100,15,604
"3888","12-13","Southwest","Independent","BREWSTER PUBLIC SCHOOL DISTRICT",93,21,40,141
"3889","12-13","Southwest","Independent","CEDAR MOUNTAIN SCHOOL DISTRICT",254,92,2,504
"3890","12-13","Southwest","Independent","EDGERTON PUBLIC SCHOOL DISTRICT",131,54,21,336
"3891","12-13","Southwest","Independent","ELLSWORTH PUBLIC SCHOOL DISTRICT",69,41,0,168
"3892","12-13","Southwest","Independent","FULDA PUBLIC SCHOOL DISTRICT",101,56,6,299
"3893","12-13","Southwest","Independent","HENDRICKS PUBLIC SCHOOL DISTRICT",54,13,1,99
"3894","12-13","Southwest","Independent","HERON LAKE-OKABENA SCHOOL DISTRICT",134,65,44,348
"3895","12-13","Southwest","Independent","HILLS-BEAVER CREEK SCHOOL DISTRICT",111,33,0,342
"3896","12-13","Southwest","Independent","IVANHOE PUBLIC SCHOOL DISTRICT",78,24,0,197
"3897","12-13","Southwest","Independent","JACKSON COUNTY CENTRAL SCHOOL DIST.",420,184,8,1174
"3898","12-13","Southwest","Independent","LAKE BENTON PUBLIC SCHOOL DISTRICT",37,15,0,98
"3899","12-13","Southwest","Independent","LAKEVIEW SCHOOL DISTRICT",219,82,18,600
"3900","12-13","Southwest","Independent","LUVERNE PUBLIC SCHOOL DISTRICT",407,158,20,1194
"3901","12-13","Southwest","Independent","LYND PUBLIC SCHOOL DISTRICT",77,15,36,114
"3902","12-13","Southwest","Independent","MARSHALL PUBLIC SCHOOL DISTRICT",839,281,218,2216
"3903","12-13","Southwest","Independent","MILROY PUBLIC SCHOOL DISTRICT",12,8,0,26
"3904","12-13","Southwest","Independent","MINNEOTA PUBLIC SCHOOL DISTRICT",172,76,31,422
"3905","12-13","Southwest","Independent","MOUNTAIN LAKE PUBLIC SCHOOLS",258,87,51,477
"3906","12-13","Southwest","Independent","MURRAY COUNTY CENTRAL SCHOOL DIST.",229,100,12,729
"3907","12-13","Southwest","Independent","PIPESTONE AREA SCHOOL DISTRICT",493,128,52,1112
"3908","12-13","Southwest","Independent","RED ROCK CENTRAL SCHOOL DISTRICT",160,37,0,406
"3909","12-13","Southwest","Independent","REDWOOD AREA SCHOOL DISTRICT",448,136,7,1097
"3910","12-13","Southwest","Independent","ROUND LAKE PUBLIC SCHOOL DISTRICT",46,15,0,91
"3911","12-13","Southwest","Independent","RTR PUBLIC SCHOOLS",197,68,1,554
"3912","12-13","Southwest","Independent","TRACY AREA PUBLIC SCHOOL DISTRICT",396,88,103,763
"3913","12-13","Southwest","Independent","WABASSO PUBLIC SCHOOL DISTRICT",117,43,3,368
"3914","12-13","Southwest","Independent","WESTBROOK-WALNUT GROVE SCHOOLS",215,65,80,426
"3915","12-13","Southwest","Independent","WINDOM PUBLIC SCHOOL DISTRICT",430,170,82,955
"3916","12-13","Southwest","Independent","WORTHINGTON PUBLIC SCHOOL DISTRICT",1754,380,339,2676
"3917","12-13","Southwest","Service Coop","REGN 6 AND 8-SW/WC SRV COOPERATIVE",78,97,0,142
"3918","12-13","Twin Cities","Charter","ACADEMIA CESAR CHAVEZ CHARTER SCH.",372,42,294,376
"3919","12-13","Twin Cities","Charter","ACADEMIC ARTS HIGH SCHOOL",0,23,0,65
"3920","12-13","Twin Cities","Charter","ACHIEVE LANGUAGE ACADEMY",368,42,204,397
"3921","12-13","Twin Cities","Charter","AFSA HIGH SCHOOL",113,98,0,292
"3922","12-13","Twin Cities","Charter","ASPEN ACADEMY",0,24,1,425
"3923","12-13","Twin Cities","Charter","AUGSBURG FAIRVIEW ACADEMY",120,27,0,131
"3924","12-13","Twin Cities","Charter","AURORA CHARTER SCHOOL",280,11,300,306
"3925","12-13","Twin Cities","Charter","AVALON SCHOOL",59,57,2,183
"3926","12-13","Twin Cities","Charter","BEACON ACADEMY",76,51,16,417
"3927","12-13","Twin Cities","Charter","BEACON PREPARATORY SCHOOL",32,25,0,160
"3928","12-13","Twin Cities","Charter","BEST ACADEMY",459,52,183,497
"3929","12-13","Twin Cities","Charter","BLUESKY CHARTER SCHOOL",137,73,1,430
"3930","12-13","Twin Cities","Charter","BRIGHT WATER ELEMENTARY",47,23,6,142
"3931","12-13","Twin Cities","Charter","CEDAR RIVERSIDE COMMUNITY SCHOOL",150,20,70,152
"3932","12-13","Twin Cities","Charter","CITY ACADEMY",0,0,0,111
"3933","12-13","Twin Cities","Charter","COLLEGE PREPARATORY ELEMENTARY",250,34,170,262
"3934","12-13","Twin Cities","Charter","COLOGNE ACADEMY",68,36,3,384
"3935","12-13","Twin Cities","Charter","COMMUNITY OF PEACE ACADEMY",667,113,207,779
"3936","12-13","Twin Cities","Charter","COMMUNITY SCHOOL OF EXCELLENCE",812,49,519,876
"3937","12-13","Twin Cities","Charter","CONCORDIA CREATIVE LEARNING ACADEMY",260,48,2,360
"3938","12-13","Twin Cities","Charter","CORNERSTONE MONTESSORI ELEMENTARY",50,7,24,82
"3939","12-13","Twin Cities","Charter","CYBER VILLAGE ACADEMY",48,34,0,147
"3940","12-13","Twin Cities","Charter","DAVINCI ACADEMY",91,44,7,423
"3941","12-13","Twin Cities","Charter","DUGSI ACADEMY",362,17,217,371
"3942","12-13","Twin Cities","Charter","EAGLE RIDGE ACADEMY CHARTER SCHOOL",111,56,0,808
"3943","12-13","Twin Cities","Charter","EL COLEGIO CHARTER SCHOOL",0,8,36,70
"3944","12-13","Twin Cities","Charter","EMILY O. GOODRIDGE-GREY ACCELERATED",284,49,57,287
"3945","12-13","Twin Cities","Charter","EXCELL ACADEMY CHARTER",358,31,73,387
"3946","12-13","Twin Cities","Charter","FACE TO FACE ACADEMY",69,17,0,75
"3947","12-13","Twin Cities","Charter","FRASER ACADEMY",36,75,0,86
"3948","12-13","Twin Cities","Charter","FRIENDSHIP ACDMY OF FINE ARTS CHTR.",0,15,0,129
"3949","12-13","Twin Cities","Charter","GLOBAL ACADEMY",385,36,236,420
"3950","12-13","Twin Cities","Charter","GREAT RIVER SCHOOL",59,39,14,332
"3951","12-13","Twin Cities","Charter","HARVEST PREP SCHOOL-SEED ACADEMY",433,36,1,461
"3952","12-13","Twin Cities","Charter","HENNEPIN ELEMENTARY SCHOOL",137,7,114,141
"3953","12-13","Twin Cities","Charter","HIAWATHA ACADEMIES",492,40,415,506
"3954","12-13","Twin Cities","Charter","HIGH SCHOOL FOR RECORDING ARTS",172,39,0,187
"3955","12-13","Twin Cities","Charter","HIGHER GROUND ACADEMY",702,22,138,721
"3956","12-13","Twin Cities","Charter","HMONG COLLEGE PREP ACADEMY",806,78,356,915
"3957","12-13","Twin Cities","Charter","HOPE COMMUNITY ACADEMY",398,43,299,481
"3958","12-13","Twin Cities","Charter","INTERNATIONAL SPANISH LANGUAGE ACAD",17,14,0,256
"3959","12-13","Twin Cities","Charter","JENNINGS COMMUNITY LEARNING CENTER",51,16,0,71
"3960","12-13","Twin Cities","Charter","KIPP MINNESOTA CHARTER SCHOOL",150,37,0,160
"3961","12-13","Twin Cities","Charter","LAKES INTERNATIONAL LANGUAGE ADMY",80,71,0,691
"3962","12-13","Twin Cities","Charter","LAURA JEFFREY ACADEMY CHARTER",79,31,0,182
"3963","12-13","Twin Cities","Charter","LEARNING FOR LEADERSHIP CHARTER",180,36,80,195
"3964","12-13","Twin Cities","Charter","LINCOLN INTERNATIONAL SCHOOL",119,5,115,119
"3965","12-13","Twin Cities","Charter","LIONSGATE ACADEMY",25,142,0,151
"3966","12-13","Twin Cities","Charter","LOVEWORKS ACADEMY FOR ARTS",196,19,0,235
"3967","12-13","Twin Cities","Charter","MAIN STREET SCHOOL PERFORMING ARTS",78,58,0,270
"3968","12-13","Twin Cities","Charter","MASTERY SCHOOL",140,14,1,156
"3969","12-13","Twin Cities","Charter","MATH AND SCIENCE ACADEMY",0,25,1,409
"3970","12-13","Twin Cities","Charter","METRO DEAF SCHOOL",37,62,0,62
"3971","12-13","Twin Cities","Charter","METRO SCHOOLS CHARTER",278,23,266,284
"3972","12-13","Twin Cities","Charter","METRO TECH ACADEMY",58,17,0,65
"3973","12-13","Twin Cities","Charter","MINNEAPOLIS ACADEMY CHARTER SCHOOL",148,20,101,159
"3974","12-13","Twin Cities","Charter","MINNEAPOLIS COLLEGE PREPARATORY",47,8,16,48
"3975","12-13","Twin Cities","Charter","MINNESOTA INTERNSHIP CENTER",253,58,1,260
"3976","12-13","Twin Cities","Charter","MINNESOTA ONLINE HIGH SCHOOL",13,20,0,107
"3977","12-13","Twin Cities","Charter","MINNESOTA SCHOOL OF SCIENCE",260,19,2,329
"3978","12-13","Twin Cities","Charter","MINNESOTA TRANSITIONS CHARTER SCH",1720,431,252,3080
"3979","12-13","Twin Cities","Charter","MN INTERNATIONAL MIDDLE CHARTER",371,20,319,383
"3980","12-13","Twin Cities","Charter","NASHA SHKOLA CHARTER SCHOOL",63,4,36,93
"3981","12-13","Twin Cities","Charter","NATURAL SCIENCE ACADEMY",10,5,0,53
"3982","12-13","Twin Cities","Charter","NEW CITY SCHOOL",49,14,8,140
"3983","12-13","Twin Cities","Charter","NEW HEIGHTS SCHOOL, INC.",57,32,0,112
"3984","12-13","Twin Cities","Charter","NEW MILLENNIUM ACADEMY CHARTER SCH",391,50,375,458
"3985","12-13","Twin Cities","Charter","NEW VISIONS CHARTER SCHOOL",194,33,87,212
"3986","12-13","Twin Cities","Charter","NOBLE ACADEMY",382,23,312,468
"3987","12-13","Twin Cities","Charter","NORTH LAKES ACADEMY",107,51,0,342
"3988","12-13","Twin Cities","Charter","NORTHWEST PASSAGE HIGH SCHOOL",62,32,0,131
"3989","12-13","Twin Cities","Charter","NOVA CLASSICAL ACADEMY",105,50,16,843
"3990","12-13","Twin Cities","Charter","ODYSSEY ACADEMY",238,34,59,284
"3991","12-13","Twin Cities","Charter","PACT CHARTER SCHOOL",91,129,1,643
"3992","12-13","Twin Cities","Charter","PAIDEIA ACADEMY CHARTER SCHOOL",59,64,0,379
"3993","12-13","Twin Cities","Charter","PALADIN ACADEMY",141,33,1,175
"3994","12-13","Twin Cities","Charter","PARNASSUS PREPARATORY CHARTER SCH",69,34,17,611
"3995","12-13","Twin Cities","Charter","PARTNERSHIP ACADEMY, INC.",276,33,240,280
"3996","12-13","Twin Cities","Charter","PRAIRIE CREEK COMMUNITY SCHOOL",25,24,0,180
"3997","12-13","Twin Cities","Charter","PRAIRIE SEEDS ACADEMY",565,58,223,775
"3998","12-13","Twin Cities","Charter","QUEST ACADEMY",22,25,0,52
"3999","12-13","Twin Cities","Charter","RIVERS EDGE ACADEMY",37,12,1,65
"4000","12-13","Twin Cities","Charter","SAGE ACADEMY CHARTER SCHOOL",54,19,0,76
"4001","12-13","Twin Cities","Charter","SEVEN HILLS CLASSICAL ACADEMY",89,31,10,427
"4002","12-13","Twin Cities","Charter","SOBRIETY HIGH",0,12,0,49
"4003","12-13","Twin Cities","Charter","SOJOURNER TRUTH ACADEMY",384,67,78,391
"4004","12-13","Twin Cities","Charter","SOUTHSIDE FAMILY CHARTER SCHOOL",55,12,4,107
"4005","12-13","Twin Cities","Charter","SPECTRUM HIGH SCHOOL",98,58,0,503
"4006","12-13","Twin Cities","Charter","ST PAUL CONSERVATORY PERFORMING ART",73,27,0,547
"4007","12-13","Twin Cities","Charter","ST. CROIX PREPARATORY ACADEMY",128,107,5,1075
"4008","12-13","Twin Cities","Charter","ST. PAUL CITY SCHOOL",344,38,212,349
"4009","12-13","Twin Cities","Charter","STEP ACADEMY CHARTER SCHOOL",148,8,71,152
"4010","12-13","Twin Cities","Charter","STONEBRIDGE COMMUNITY SCHOOL",223,27,37,229
"4011","12-13","Twin Cities","Charter","TWIN CITIES ACADEMY",65,19,4,197
"4012","12-13","Twin Cities","Charter","TWIN CITIES ACADEMY HIGH SCHOOL",76,28,3,186
"4013","12-13","Twin Cities","Charter","TWIN CITIES GERMAN IMMERSION CHRTR",38,37,3,321
"4014","12-13","Twin Cities","Charter","TWIN CITIES INTERNATIONAL ELEM SCH.",578,14,544,599
"4015","12-13","Twin Cities","Charter","UBAH MEDICAL ACADEMY CHARTER SCHOOL",315,10,28,319
"4016","12-13","Twin Cities","Charter","URBAN ACADEMY CHARTER SCHOOL",260,33,42,268
"4017","12-13","Twin Cities","Charter","WATERSHED HIGH SCHOOL",0,22,0,74
"4018","12-13","Twin Cities","Charter","WOODSON INSTITUTE FOR EXCELLENCE CH",284,41,0,295
"4019","12-13","Twin Cities","Charter","WORLD LEARNER CHARTER SCHOOL",26,32,0,205
"4020","12-13","Twin Cities","Charter","YINGHUA ACADEMY",50,40,0,501
"4021","12-13","Twin Cities","Correctional Facilities","MINNESOTA DEPARTMENT OF CORRECTIONS",0,114,0,188
"4022","12-13","Twin Cities","Independent","ANOKA-HENNEPIN PUBLIC SCHOOL DIST.",12219,4885,2465,37667
"4023","12-13","Twin Cities","Independent","BELLE PLAINE PUBLIC SCHOOL DISTRICT",344,186,0,1604
"4024","12-13","Twin Cities","Independent","BLOOMINGTON PUBLIC SCHOOL DISTRICT",4171,1357,1236,10265
"4025","12-13","Twin Cities","Independent","BROOKLYN CENTER SCHOOL DISTRICT",1610,286,397,2153
"4026","12-13","Twin Cities","Independent","BURNSVILLE PUBLIC SCHOOL DISTRICT",4137,1165,1325,9478
"4027","12-13","Twin Cities","Independent","CENTENNIAL PUBLIC SCHOOL DISTRICT",1152,1008,94,6463
"4028","12-13","Twin Cities","Independent","CENTRAL PUBLIC SCHOOL DISTRICT",243,118,0,989
"4029","12-13","Twin Cities","Independent","COLUMBIA HEIGHTS PUBLIC SCHOOL DIST",2343,440,830,2963
"4030","12-13","Twin Cities","Independent","EASTERN CARVER COUNTY PUBLIC SCHOOL",1614,943,466,9197
"4031","12-13","Twin Cities","Independent","EDEN PRAIRIE PUBLIC SCHOOL DISTRICT",1746,957,608,9144
"4032","12-13","Twin Cities","Independent","EDINA PUBLIC SCHOOL DISTRICT",693,795,322,8323
"4033","12-13","Twin Cities","Independent","FARMINGTON PUBLIC SCHOOL DISTRICT",1079,722,273,6683
"4034","12-13","Twin Cities","Independent","FOREST LAKE PUBLIC SCHOOL DISTRICT",1689,804,55,6667
"4035","12-13","Twin Cities","Independent","FRIDLEY PUBLIC SCHOOL DISTRICT",1693,404,392,2872
"4036","12-13","Twin Cities","Independent","HASTINGS PUBLIC SCHOOL DISTRICT",987,467,55,4586
"4037","12-13","Twin Cities","Independent","HOPKINS PUBLIC SCHOOL DISTRICT",2483,823,477,6942
"4038","12-13","Twin Cities","Independent","INVER GROVE HEIGHTS SCHOOLS",1371,465,293,3704
"4039","12-13","Twin Cities","Independent","JORDAN PUBLIC SCHOOL DISTRICT",471,241,67,1741
"4040","12-13","Twin Cities","Independent","LAKEVILLE PUBLIC SCHOOL DISTRICT",1374,1320,287,10762
"4041","12-13","Twin Cities","Independent","MAHTOMEDI PUBLIC SCHOOL DISTRICT",315,263,46,3265
"4042","12-13","Twin Cities","Independent","MINNETONKA PUBLIC SCHOOL DISTRICT",734,892,156,9486
"4043","12-13","Twin Cities","Independent","MOUNDS VIEW PUBLIC SCHOOL DISTRICT",3122,1142,459,10305
"4044","12-13","Twin Cities","Independent","NEW PRAGUE AREA SCHOOLS",604,407,28,3876
"4045","12-13","Twin Cities","Independent","NORTH ST PAUL-MAPLEWOOD SCHOOL DIST",5143,1535,857,10538
"4046","12-13","Twin Cities","Independent","ORONO PUBLIC SCHOOL DISTRICT",233,311,37,2777
"4047","12-13","Twin Cities","Independent","OSSEO PUBLIC SCHOOL DISTRICT",8127,2473,1899,20181
"4048","12-13","Twin Cities","Independent","PRIOR LAKE-SAVAGE AREA SCHOOLS",1180,797,225,7276
"4049","12-13","Twin Cities","Independent","RANDOLPH PUBLIC SCHOOL DISTRICT",107,55,0,573
"4050","12-13","Twin Cities","Independent","RICHFIELD PUBLIC SCHOOL DISTRICT",2803,629,1289,4313
"4051","12-13","Twin Cities","Independent","ROBBINSDALE PUBLIC SCHOOL DISTRICT",5881,1471,1028,11984
"4052","12-13","Twin Cities","Independent","ROSEMOUNT-APPLE VALLEY-EAGAN",6194,3761,1393,26715
"4053","12-13","Twin Cities","Independent","ROSEVILLE PUBLIC SCHOOL DISTRICT",3081,783,1085,6869
"4054","12-13","Twin Cities","Independent","SHAKOPEE PUBLIC SCHOOL DISTRICT",2460,1016,963,7502
"4055","12-13","Twin Cities","Independent","SOUTH WASHINGTON COUNTY SCHOOL DIST",3342,1957,421,17290
"4056","12-13","Twin Cities","Independent","SPRING LAKE PARK PUBLIC SCHOOLS",2128,617,511,5351
